===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2020-01-02 00:00:00,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,135480400.0,,SmaCross,1,737426.0,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,2020-01-03 00:00:00,74.2874984741211,75.1449966430664,74.125,74.35749816894531,146322800.0,,SmaCross,2,737427.0,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,2020-01-06 00:00:00,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,118387200.0,,SmaCross,3,737430.0,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,2020-01-07 00:00:00,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,108872000.0,,SmaCross,4,737431.0,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,2020-01-08 00:00:00,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,132079200.0,,SmaCross,5,737432.0,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,2020-01-09 00:00:00,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,170108400.0,,SmaCross,6,737433.0,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,2020-01-10 00:00:00,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,140644800.0,,SmaCross,7,737434.0,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,2020-01-13 00:00:00,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,121532000.0,,SmaCross,8,737437.0,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,2020-01-14 00:00:00,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,161954400.0,,SmaCross,9,737438.0,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,2020-01-15 00:00:00,77.9625015258789,78.875,77.38749694824219,77.83499908447266,121923600.0,,SmaCross,10,737439.0,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,,11,2020-01-16 00:00:00,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,108829200.0,,SmaCross,11,737440.0,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,,12,2020-01-17 00:00:00,79.06749725341797,79.68499755859375,78.75,79.68250274658203,137816400.0,,SmaCross,12,737441.0,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,,13,2020-01-21 00:00:00,79.29750061035156,79.75499725341797,79.0,79.14250183105469,110843200.0,,SmaCross,13,737445.0,Broker,13,10000.0,10000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,,14,2020-01-22 00:00:00,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,101832400.0,,SmaCross,14,737446.0,Broker,14,10000.0,10000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,,15,2020-01-23 00:00:00,79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,104472000.0,,SmaCross,15,737447.0,Broker,15,10000.0,10000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,,16,2020-01-24 00:00:00,80.0625,80.8324966430664,79.37999725341797,79.57749938964844,146537600.0,,SmaCross,16,737448.0,Broker,16,10000.0,10000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
